facility_id;address;city;medium;meter_id;meter_manufacturer;gateway_id;gateway_product_model;phone;ip;port;gateway_status;meter_status;utc_offset
679;Tjäderstigen 13;Perstorp;District heating;67970097;ELV;12036882;CMi2110;07190000426239;NULL;NULL;OK;OK;+1
680;Mossvägen 15;Perstorp;District heating;67970048;ELV;12037406;CMi2110;07190000426146;NULL;NULL;OK;OK;+1
681;Klockarevägen 13;Perstorp;District heating;67841476;ELV;12035345;CMi2110;07190000417004;NULL;NULL;OK;OK;+1
682;Helsingborgsvägen 22;Perstorp;District heating;67841479;ELV;12035925;CMi2110;07190000417145;NULL;NULL;OK;OK;+1
683;Mossvägen 24A;Perstorp;District heating;67970063;ELV;12037402;CMi2110;07190000426168;NULL;NULL;OK;OK;+1
684;Mossvägen 22 B;Perstorp;District heating;67970106;ELV;12037340;CMi2110;07190000426131;NULL;NULL;OK;OK;+1
685;Klockarevägen 06;Perstorp;District heating;67970046;ELV;12037100;CMi2110;07190000426191;NULL;NULL;OK;OK;+1
686;Mossvägen 20;Perstorp;District heating;67841512;ELV;12035351;CMi2110;07190000417071;NULL;NULL;OK;OK;+1
687;Stockholmsvägen 53;Perstorp;District heating;67970006;ELV;12037357;CMi2110;07190000426148;NULL;NULL;OK;OK;+1
688;Stockholmsvägen 55;Perstorp;District heating;68139956;ELV;12041020;CMi2110;07190000502477;NULL;NULL;OK;OK;+1
689;Porsvägen 29;Perstorp;District heating;67970090;ELV;12037324;CMi2110;07190000426105;NULL;NULL;OK;OK;+1
690;Spelvägen 29;Perstorp;District heating;67606286;ELV;12031997;CMi2110;07190000355020;NULL;NULL;OK;OK;+1
691;Gustavsborgsvägen 18;Perstorp;District heating;67606159;ELV;12032015;CMi2110;07190000355043;NULL;NULL;OK;OK;+1
692;Gustavsborgsvägen 20;Perstorp;District heating;67970008;ELV;12037343;CMi2110;07190000426120;NULL;NULL;OK;OK;+1
694;Röstångavägen 18;Perstorp;District heating;67970024;ELV;12037087;CMi2110;07190000426205;NULL;NULL;OK;OK;+1
695;Parkvägen 23;Perstorp;District heating;67970023;ELV;12037365;CMi2110;07190000426165;NULL;NULL;OK;OK;+1
696;Röstångavägen 13;Perstorp;District heating;67606242;ELV;12032031;CMi2110;07190000355056;NULL;NULL;OK;OK;+1
697;Duettvägen 02;Perstorp;District heating;68139958;ELV;12041745;CMi2110;07190000502414;NULL;NULL;OK;OK;+1
698;Lillarydsvägen 12;Perstorp;District heating;68349232;ELV;12046857;CMi2110;0037282172734;NULL;NULL;OK;OK;+1
699;Duvstigen 30;Perstorp;District heating;68139913;ELV;12041784;CMi2110;07190000502379;NULL;NULL;OK;OK;+1
700;Parkvägen 14;Perstorp;District heating;67970037;ELV;12037097;CMi2110;07190000426189;NULL;NULL;OK;OK;+1
701;Duvstigen 25;Perstorp;District heating;68139969;ELV;12041768;CMi2110;07190000502357;NULL;NULL;OK;OK;+1
702;Duvstigen 27;Perstorp;District heating;68140038;ELV;12040990;CMi2110;07190000502470;NULL;NULL;OK;OK;+1
703;Färgarevägen 30;Perstorp;District heating;67970007;ELV;12037321;CMi2110;07190000426111;NULL;NULL;OK;OK;+1
704;Sångvägen 01;Perstorp;District heating;68139949;ELV;12041736;CMi2110;07190000502404;NULL;NULL;OK;OK;+1
705;Duvstigen 29;Perstorp;District heating;68139927;ELV;12041760;CMi2110;07190000502355;NULL;NULL;OK;OK;+1
706;Lärkvägen 05;Perstorp;District heating;68139993;ELV;12041739;CMi2110;07190000502396;NULL;NULL;OK;OK;+1
707;Fasanvägen 34;Perstorp;District heating;67970129;ELV;12036892;CMi2110;07190000426231;NULL;NULL;OK;OK;+1
708;Köpmangatan 23;Perstorp;District heating;67606289;ELV;12032005;CMi2110;07190000355022;NULL;NULL;OK;OK;+1
709;Klövergatan 17;Perstorp;District heating;67970132;ELV;12036887;CMi2110;07190000426243;NULL;NULL;OK;OK;+1
710;Sångvägen 05;Perstorp;District heating;68139970;ELV;12041734;CMi2110;07190000502403;NULL;NULL;OK;OK;+1
711;Sångvägen 09;Perstorp;District heating;68139978;ELV;12041017;CMi2110;07190000502494;NULL;NULL;OK;OK;+1
712;Gustavsborgsvägen 02;Perstorp;District heating;67969995;ELV;12037320;CMi2110;07190000426117;NULL;NULL;OK;OK;+1
713;Lillarydsvägen 14;Perstorp;District heating;68349247;ELV;12046850;CMi2110;0037282172727;NULL;NULL;OK;OK;+1
714;Fasanvägen 32;Perstorp;District heating;68139983;ELV;12041720;CMi2110;07190000502399;NULL;NULL;OK;OK;+1
715;Fasanvägen 30;Perstorp;District heating;67970114;ELV;12037082;CMi2110;07190000426195;NULL;NULL;OK;OK;+1
716;Sångvägen 08;Perstorp;District heating;68139946;ELV;12041725;CMi2110;07190000502409;NULL;NULL;OK;OK;+1
717;Duvstigen 16;Perstorp;District heating;68139991;ELV;12041744;CMi2110;07190000502413;NULL;NULL;OK;OK;+1
718;Sångvägen 06;Perstorp;District heating;68140013;ELV;12041721;CMi2110;07190000502401;NULL;NULL;OK;OK;+1
719;Sångvägen 18;Perstorp;District heating;68140044;ELV;12041712;CMi2110;07190000502398;NULL;NULL;OK;OK;+1
720;Spårvägsgatan 10;Perstorp;District heating;67970093;ELV;12037104;CMi2110;07190000426177;NULL;NULL;OK;OK;+1
721;Gustavsborgsvägen 16 A;Perstorp;District heating;67970019;ELV;12037312;CMi2110;07190000426109;NULL;NULL;OK;OK;+1
722;Duvstigen 13;Perstorp;District heating;68139963;ELV;12041764;CMi2110;07190000502365;NULL;NULL;OK;OK;+1
723;Rydbovägen 24;Perstorp;District heating;67970127;ELV;12037089;CMi2110;07190000426196;NULL;NULL;OK;OK;+1
